id	pop	species	morph	date	locality	lat	long	sex	embryos	loan
NK326083	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.75149304	-132.529129	female	no	MSB_3
NK326084	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.75070598	-132.530821	female	yes	MSB_3
NK326085	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.75607098	-132.530132	male	NA	MSB_3
NK326086	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.75139899	-132.530773	male	NA	MSB_3
NK326087	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.75170803	-132.52859	male	NA	MSB_3
NK326090	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, North of LeConte Bay"	56.756837	-132.528963	female	yes	MSB_3
NK326098	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75173402	-132.528555	female	no	MSB_3
NK326107	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75303799	-132.526254	male	NA	MSB_3
NK326108	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75710699	-132.520626	male	NA	MSB_3
NK326113	SEAK	Myodes rutilus	rutilus	6-Jul-23	"Indian Point, north of LeConte Bay"	56.75720003	-132.520614	female	yes	MSB_3
NK326089	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, North of LeConte Bay"	56.751501	-132.530914	female	no	MSB_3
NK326093	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, North of LeConte Bay"	56.75701797	-132.528844	male	NA	MSB_3
NK326096	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, North of LeConte Bay"	56.75089097	-132.530563	female	yes	MSB_3
NK326097	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.754664	-132.528042	female	no	MSB_3
NK326106	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75166001	-132.529203	male	NA	MSB_3
NK326101	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.751385	-132.53087	female	no	MSB_3
NK326115	SEAK	Myodes rutilus	rutilus	6-Jul-23	"Indian Point, north of LeConte Bay"	56.75724302	-132.520731	male	NA	MSB_3
NK326116	SEAK	Myodes rutilus	rutilus	6-Jul-23	"Indian Point, north of LeConte Bay"	56.75639897	-132.529383	male	NA	MSB_3
NK326119	SEAK	Myodes rutilus	rutilus	6-Jul-23	"Indian Point, north of LeConte Bay"	56.75691202	-132.5288	female	no	MSB_3
NK326099	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75599303	-132.526341	male	NA	MSB_3
NK326095	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75607199	-132.530403	female	yes	MSB_3
NK326100	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.75169303	-132.528588	male	NA	MSB_3
NK326102	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	56.757195	-132.520713	male	NA	MSB_3
FN1971	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66291501	-132.241546	NA	FN611	KU_2
FN1972	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66291501	-132.241546	NA	FN611	KU_2
FN1973	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66291501	-132.241546	NA	FN611	KU_2
FN1974	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66291501	-132.241546	NA	FN611	KU_2
FN1975	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66291501	-132.241546	NA	FN611	KU_2
FN1976	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66423399	-132.242242	NA	FN577	KU_2
FN1977	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66423399	-132.242242	NA	FN577	KU_2
FN1978	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66423399	-132.242242	NA	FN577	KU_2
FN1986	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
FN1987	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
FN1988	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
FN1989	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
FN1990	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
FN1991	SEAK	Myodes gapperi	gapperi	22-Jul-22	"Rynda's Cabin, south side of Stikine River off of Andrew's Slough"	56.66395202	-132.241321	NA	FN572	KU_2
